"year","lifehistory","iteration","Rest","SigmaR","Fscen","Lyears","Nsamp","Rich","max_grad","variable","estimate","sd"
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
12,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44339.2,135.364
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21966.7,223.429
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9601558,0.000109597
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00423663,1.30696e-05
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.97552,0.00193595
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
13,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44234,138.452
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21961,223.216
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.958015,0.000117751
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00447102,1.4017e-05
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.973206,0.00200918
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
14,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44128.3,140.805
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21955.1,222.982
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9558816,0.000125509
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00470532,1.49336e-05
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.970879,0.00206299
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
15,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",44022,142.548
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21949.3,222.724
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9537554,0.000132895
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00493952,1.58199e-05
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.968542,0.00210183
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
16,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",43915.5,143.788
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21943.4,222.44
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9516367,0.000139931
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.0051736,1.66767e-05
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.966197,0.00212924
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
17,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",43808.6,144.615
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21937.4,222.13
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9495253,0.000146635
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00540758,1.75048e-05
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.963846,0.00214798
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
