"year","lifehistory","iteration","Rest","SigmaR","Fscen","variable","true"
23,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
23,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
23,"short_slow",1,"om","Deterministic","F1","LN_R0",10
23,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
23,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
23,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
24,"short_slow",1,"om","Deterministic","F1","SSB",43165
24,"short_slow",1,"om","Deterministic","F1","Recruit",21901
24,"short_slow",1,"om","Deterministic","F1","SPR",0.9370067
24,"short_slow",1,"om","Deterministic","F1","F",0.00680943
24,"short_slow",1,"om","Deterministic","F1","Depletion",0.949676
24,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
24,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
24,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
24,"short_slow",1,"om","Deterministic","F1","LN_R0",10
24,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
24,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
24,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
25,"short_slow",1,"om","Deterministic","F1","SSB",43058.1
25,"short_slow",1,"om","Deterministic","F1","Recruit",21894.9
25,"short_slow",1,"om","Deterministic","F1","SPR",0.9349454
25,"short_slow",1,"om","Deterministic","F1","F",0.00704269
25,"short_slow",1,"om","Deterministic","F1","Depletion",0.947324
25,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
25,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
25,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
25,"short_slow",1,"om","Deterministic","F1","LN_R0",10
25,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
25,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
25,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
26,"short_slow",1,"om","Deterministic","F1","SSB",42951.3
26,"short_slow",1,"om","Deterministic","F1","Recruit",21888.8
26,"short_slow",1,"om","Deterministic","F1","SPR",0.9349454
26,"short_slow",1,"om","Deterministic","F1","F",0.00704198
26,"short_slow",1,"om","Deterministic","F1","Depletion",0.944975
26,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
26,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
26,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
26,"short_slow",1,"om","Deterministic","F1","LN_R0",10
26,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
26,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
26,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
