"","lifehistory","Rest","SigmaR","Lyears","Nsamp","Fscen","variable","year","label","mre","mare","n_nonconverge"
"84","long_fast","R_biasadjusted","HighSigmaR","L20","N200","F2","SSB0",100,"L20_N200",0.0357981908209135,0.146948012307844,0
"85","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","F",100,"L20_N50",-0.0838910054066537,0.30170206969116,0
"86","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Fraction of unfished",100,"L20_N50",0.00474708881824105,0.245196946429884,0
"87","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","OFL",100,"L20_N50",0.1011430571874,0.367590556099361,0
"88","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","Recruit",100,"L20_N50",0.414453940702309,0.634435594034859,0
"89","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SPR",100,"L20_N50",0.0451998271724553,0.171141353853175,0
"90","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SSB",100,"L20_N50",0.0857510982132911,0.337141354961089,0
"91","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F1","SSB0",100,"L20_N50",0.0314201500866359,0.104385440239744,0
"92","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","F",100,"L20_N50",0.0485723797994771,0.301440480028529,0
"93","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","Fraction of unfished",100,"L20_N50",0.0213402384115143,0.175037771826641,0
"94","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","OFL",100,"L20_N50",-0.0528530613050229,0.300628293936218,0
"95","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","Recruit",100,"L20_N50",0.43352596097383,0.589281119883309,0
"96","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","SPR",100,"L20_N50",-0.0108440426309721,0.0969306262478558,0
"97","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","SSB",100,"L20_N50",-0.0230540097490057,0.313969986418408,0
"98","long_fast","R_biasadjusted","HighSigmaR","L20","N50","F2","SSB0",100,"L20_N50",-0.0537049940495644,0.140334704297263,0
"99","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","F",100,"L20_Ndecline",0.00290338700434764,0.237932500550863,0
"100","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","Fraction of unfished",100,"L20_Ndecline",-0.0115822684335643,0.206443973107298,0
"101","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","OFL",100,"L20_Ndecline",0.0130947208415041,0.269401682836027,0
"102","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","Recruit",100,"L20_Ndecline",0.441928919774975,0.614989276595342,0
"103","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","SPR",100,"L20_Ndecline",-0.00442262694127052,0.134910228809454,0
"104","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","SSB",100,"L20_Ndecline",-0.0383533970990938,0.277344712404988,0
"105","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F1","SSB0",100,"L20_Ndecline",0.00593502000949603,0.097315829392069,0
"106","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","F",100,"L20_Ndecline",-0.0781885683753304,0.274128410234712,0
"107","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","Fraction of unfished",100,"L20_Ndecline",0.0662784679262649,0.192506788754755,0
"108","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","OFL",100,"L20_Ndecline",0.0918323652398054,0.300441627763396,0
"109","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","Recruit",100,"L20_Ndecline",0.486966937540685,0.662773664534909,0
"110","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","SPR",100,"L20_Ndecline",0.0280152414161582,0.0862918646832204,0
"111","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","SSB",100,"L20_Ndecline",0.0780293963003282,0.305013566475901,0
"112","long_fast","R_biasadjusted","HighSigmaR","L20","Ndecline","F2","SSB0",100,"L20_Ndecline",0.00747350052104851,0.134227029160218,0
"113","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","F",100,"L5_N200",-0.101976718475046,0.354406707881063,0
"114","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","Fraction of unfished",100,"L5_N200",0.0798117601288708,0.298017617763504,0
"115","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","OFL",100,"L5_N200",0.093081099922105,0.350263504757077,0
"116","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","Recruit",100,"L5_N200",0.345493451336239,0.571924713703367,0
"117","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","SPR",100,"L5_N200",0.0524711159160326,0.197400292160849,0
"118","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","SSB",100,"L5_N200",0.0958638982523354,0.368642118248565,0
"119","long_fast","R_biasadjusted","HighSigmaR","L5","N200","F1","SSB0",100,"L5_N200",0.0450660714175603,0.130206631190149,0
"120","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","F",100,"L5_N50",0.0225191072673304,0.517707166599161,1
"121","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","Fraction of unfished",100,"L5_N50",-0.0116833774771327,0.467926936273498,1
"122","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","OFL",100,"L5_N50",-0.0160960271376283,0.573977822464841,1
"123","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","Recruit",100,"L5_N50",0.305752500042366,0.582843555900216,1
"124","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","SPR",100,"L5_N50",-0.0175848285846286,0.302274253371914,1
"125","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","SSB",100,"L5_N50",-0.0518343650048485,0.631474655572537,1
"126","long_fast","R_biasadjusted","HighSigmaR","L5","N50","F1","SSB0",100,"L5_N50",0.0042146349885616,0.142172248154748,1
"127","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","F",100,"L75_N200",-0.0391115655806428,0.239889595400436,0
"128","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Fraction of unfished",100,"L75_N200",0.0178071077413034,0.184144296782222,0
"129","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","OFL",100,"L75_N200",0.0376524806911071,0.268539941956316,0
"130","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","Recruit",100,"L75_N200",0.343846939212386,0.540375061838719,0
"131","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SPR",100,"L75_N200",0.0179981931665784,0.133145480017283,0
"132","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB",100,"L75_N200",0.0359167871346735,0.261249629472632,0
"133","long_fast","R_biasadjusted","HighSigmaR","L75","N200","F1","SSB0",100,"L75_N200",0.0396890974453207,0.0951977209523164,0
"134","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","F",100,"L75_N50",-0.0711354101486908,0.242025406515069,0
"135","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","Fraction of unfished",100,"L75_N50",0.0426463508386379,0.218061406621077,0
"136","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","OFL",100,"L75_N50",0.0784942189053442,0.25677300778063,0
"137","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","Recruit",100,"L75_N50",0.463949360372167,0.615123793990636,0
"138","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","SPR",100,"L75_N50",0.0376722897966283,0.134610025119848,0
"139","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","SSB",100,"L75_N50",0.0850741835023806,0.253905920874595,0
"140","long_fast","R_biasadjusted","HighSigmaR","L75","N50","F1","SSB0",100,"L75_N50",-0.00280564582267085,0.0924475714206434,0
"141","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","F",100,"data-rich",0.00359940734876957,0.0144300085976715,0
"142","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","F",100,"perfect",-0.0474459477703516,0.102458791374309,0
"143","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","Fraction of unfished",100,"data-rich",-0.0142992551770625,0.0368118955371827,0
"144","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","Fraction of unfished",100,"perfect",0.0279121940820997,0.090897523671834,0
"145","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","OFL",100,"data-rich",-0.00400388027010788,0.0150552829397152,0
"146","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","OFL",100,"perfect",0.0518887673679074,0.108659238024111,0
"147","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","Recruit",100,"data-rich",0.0621860068011815,0.248703851003672,0
"148","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","Recruit",100,"perfect",0.114772922059096,0.246972721233688,0
"149","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","SPR",100,"data-rich",-0.00175913750825328,0.00801104300675034,0
"150","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","SPR",100,"perfect",0.0257903961005316,0.0561034870388693,0
"151","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","SSB",100,"data-rich",-0.00397339688997103,0.0135861449529052,0
"152","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","SSB",100,"perfect",0.0493492500339916,0.105679368019079,0
"153","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","SSB0",100,"data-rich",0.0165656428628687,0.0397661756272622,0
"154","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F1","SSB0",100,"perfect",0.0214369839615719,0.0379039667515554,0
"155","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","F",100,"data-rich",-0.00183411232645509,0.0161384599417852,0
"156","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","F",100,"perfect",-0.0630217637722951,0.0940885099903004,0
"157","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","Fraction of unfished",100,"data-rich",-0.0169578302306671,0.0366820528793134,0
"158","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","Fraction of unfished",100,"perfect",0.0250995231835648,0.0746098530543842,0
"159","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","OFL",100,"data-rich",0.00244756795809902,0.017016041626298,0
"160","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","OFL",100,"perfect",0.0698735331101674,0.0985768809986116,0
"161","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","Recruit",100,"data-rich",0.0787738217146688,0.250227772691054,0
"162","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","Recruit",100,"perfect",0.114949393326594,0.269900564006793,0
"163","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","SPR",100,"data-rich",0.000475239728916595,0.00499353224037575,0
"164","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","SPR",100,"perfect",0.0207207333877,0.0292546610050336,0
"165","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","SSB",100,"data-rich",0.000185150018989746,0.0162267773216915,0
"166","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","SSB",100,"perfect",0.0693641241108662,0.0966348954727759,0
"167","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","SSB0",100,"data-rich",0.0114723166001739,0.0376665659511756,0
"168","long_fast","R_biasadjusted","LowSigmaR","L100","perfect","F2","SSB0",100,"perfect",0.0259136847687346,0.0405708718467316,0
"169","long_fast","R_biasadjusted","LowSigmaR","L1","N200","F1","F",100,"L1_N200",-0.134538336165255,0.275943175395525,2
